timestamp,PSARl_0.03_0.2,PSARs_0.03_0.2,PSARaf_0.03_0.2,PSARr_0.03_0.2
2024-01-01 02:35:00,,42716.04615589169,0.06,0
2024-01-01 02:40:00,,42704.94938653819,0.06,0
2024-01-01 02:45:00,,42694.5184233459,0.09,0
2024-01-01 02:50:00,,42678.04406524477,0.12,0
2024-01-01 02:55:00,,42656.6787774154,0.12,0
2024-01-01 03:00:00,,42637.877324125555,0.12,0
2024-01-01 03:05:00,,42621.33204523049,0.12,0
2024-01-01 03:10:00,,42606.77219980283,0.12,0
2024-01-01 03:15:00,,42593.95953582649,0.15,0
2024-01-01 03:20:00,,42573.26560545252,0.18,0
2024-01-01 03:25:00,,42548.81879647107,0.2,0
2024-01-01 03:30:00,,42522.93303717685,0.2,0
2024-01-01 03:35:00,,42500.924429741484,0.2,0
2024-01-01 03:40:00,,42477.139543793186,0.2,0
2024-01-01 03:45:00,,42431.1,0.2,0
2024-01-01 03:50:00,,42391.75,0.2,0
2024-01-01 03:55:00,,42359.416,0.2,0
2024-01-01 04:00:00,42230.08,,0.03,1
2024-01-01 04:05:00,42234.259600000005,,0.06,0
2024-01-01 04:10:00,42242.849824000004,,0.06,0
2024-01-01 04:15:00,,42377.43,0.03,1
2024-01-01 04:20:00,,42373.4271,0.06,0
2024-01-01 04:25:00,,42363.589074,0.06,0
2024-01-01 04:30:00,,42354.341329560004,0.06,0
2024-01-01 04:35:00,,42345.6484497864,0.06,0
2024-01-01 04:40:00,42209.46,,0.03,1
2024-01-01 04:45:00,42213.5286,,0.06,0
2024-01-01 04:50:00,42222.226883999996,,0.09,0
2024-01-01 04:55:00,42235.23846443999,,0.12,0
2024-01-01 05:00:00,42255.0086487072,,0.15,0
2024-01-01 05:05:00,42277.65735140112,,0.15,0
2024-01-01 05:10:00,42296.90874869095,,0.15,0
2024-01-01 05:15:00,42313.272436387306,,0.15,0
2024-01-01 05:20:00,42327.18157092921,,0.15,0
2024-01-01 05:25:00,,42406.0,0.03,1
2024-01-01 05:30:00,,42402.757,0.06,0
2024-01-01 05:35:00,,42396.37558,0.09,0
2024-01-01 05:40:00,,42385.7217778,0.09,0
2024-01-01 05:45:00,,42376.026817797996,0.12,0
2024-01-01 05:50:00,,42359.025599662236,0.15,0
2024-01-01 05:55:00,,42336.8922597129,0.18,0
2024-01-01 06:00:00,,42308.79025296458,0.18,0
2024-01-01 06:05:00,42180.77,,0.03,1
2024-01-01 06:10:00,42184.406299999995,,0.03,0
2024-01-01 06:15:00,42187.933510999996,,0.06,0
2024-01-01 06:20:00,42197.34310034,,0.06,0
2024-01-01 06:25:00,42206.18811431959,,0.06,0
2024-01-01 06:30:00,42214.502427460415,,0.09,0
2024-01-01 06:35:00,42226.40740898898,,0.12,0
2024-01-01 06:40:00,42242.5945199103,,0.15,0
2024-01-01 06:45:00,42264.04084192376,,0.18,0
2024-01-01 06:50:00,42289.41169037748,,0.2,0
2024-01-01 06:55:00,42316.49335230198,,0.2,0
2024-01-01 07:00:00,42338.15868184158,,0.2,0
2024-01-01 07:05:00,42366.176945473264,,0.2,0
2024-01-01 07:10:00,42389.16155637861,,0.2,0
2024-01-01 07:15:00,42407.54924510289,,0.2,0
2024-01-01 07:20:00,42422.259396082314,,0.2,0
2024-01-01 07:25:00,42434.02751686585,,0.2,0
2024-01-01 07:30:00,42434.87,,0.2,0
2024-01-01 07:35:00,42447.896,,0.2,0
2024-01-01 07:40:00,,42500.0,0.03,1
2024-01-01 07:45:00,,42500.0,0.06,0
2024-01-01 07:50:00,,42496.55,0.06,0
2024-01-01 07:55:00,,42492.710600000006,0.06,0
2024-01-01 08:00:00,42432.56,,0.03,1
2024-01-01 08:05:00,42435.4805,,0.03,0
2024-01-01 08:10:00,42438.313385,,0.03,0
